length_cm,theory_period,pct_diff_10deg,pct_diff_20deg,pct_diff_70deg,pct_diff_80deg,theory_check,theory_diff
20.0,0.897,2.55,0.76,-1.13,3.89,0.8971402930932747,-0.015637809867056453
40.0,1.2690000000000001,-3.84,-1.0,-1.32,8.22,1.2687479698438826,0.019864477587974695
60.0,1.554,-1.41,-1.86,-1.41,10.95,1.5538925691547856,0.006913659756601365
80.0,1.794,-0.74,0.21,-0.29,10.91,1.7942805861865494,-0.015637809867056453
100.0,2.006,0.45,0.64,-0.2,8.87,2.0060666807106475,-0.0033239528520620713
120.0,2.198,-0.52,1.07,0.7,9.62,2.1975359457694705,0.02111702570430224
140.0,2.374,1.15,1.91,1.83,7.68,2.373610106660403,0.01642617456435279
