length_cm,period_sq_10deg,period_sq_20deg,period_sq_30deg,period_sq_70deg,period_sq_80deg
20.0,0.846,0.818,0.787,0.869,0.916
40.0,1.488,1.578,1.567,1.886,2.19
60.0,2.348,2.326,2.348,2.973,3.021
80.0,3.172,3.2,3.2,3.96,4.044
100.0,4.06,4.076,4.008,4.771,4.991
120.0,4.782,4.933,4.898,5.804,5.877
140.0,5.765,5.854,5.847,6.535,7.007
