length_cm,period_10deg,period_20deg,period_30deg,period_70deg,period_80deg,theory_period,pct_diff_10deg,pct_diff_20deg,pct_diff_70deg,pct_diff_80deg,period_sq_10deg,period_sq_20deg,period_sq_30deg,period_sq_70deg,period_sq_80deg
20.0,0.92,0.904,0.887,0.932,0.957,0.897,2.55,0.76,-1.13,3.89,0.846,0.818,0.787,0.869,0.916
40.0,1.22,1.256,1.252,1.373,1.48,1.2690000000000001,-3.84,-1.0,-1.32,8.22,1.488,1.578,1.567,1.886,2.19
60.0,1.532,1.525,1.532,1.724,1.738,1.554,-1.41,-1.86,-1.41,10.95,2.348,2.326,2.348,2.973,3.021
80.0,1.781,1.798,1.789,1.99,2.011,1.794,-0.74,0.21,-0.29,10.91,3.172,3.2,3.2,3.96,4.044
100.0,2.015,2.019,2.002,2.184,2.234,2.006,0.45,0.64,-0.2,8.87,4.06,4.076,4.008,4.771,4.991
120.0,2.186,2.221,2.213,2.409,2.424,2.198,-0.52,1.07,0.7,9.62,4.782,4.933,4.898,5.804,5.877
140.0,2.401,2.419,2.417,2.556,2.647,2.374,1.15,1.91,1.83,7.68,5.765,5.854,5.847,6.535,7.007
