length_cm,period_10deg,period_20deg,period_30deg,period_70deg,period_80deg,avg_period,std_dev
20.0,0.92,0.904,0.887,0.932,0.957,0.9200000000000002,0.026730132809247305
40.0,1.22,1.256,1.252,1.373,1.48,1.3161999999999998,0.10846289688183697
60.0,1.532,1.525,1.532,1.724,1.738,1.6102,0.11042282372770584
80.0,1.781,1.798,1.789,1.99,2.011,1.8738,0.11605472846894267
100.0,2.015,2.019,2.002,2.184,2.234,2.0908,0.10952031774972171
120.0,2.186,2.221,2.213,2.409,2.424,2.2906,0.11578125927800224
140.0,2.401,2.419,2.417,2.556,2.647,2.488,0.1087152243248387
