Run,Measurement,Temperature (°C),Pressure (kPa)
Run A,1,99.8,128.4
Run A,2,52.7,112.08
Run A,3,27.0,103.0
Run A,4,26.28,102.33
Run A,5,0.62,93.1
Run B,1,99.5,1900.0
Run B,2,60.0,1700.0
Run B,3,26.0,1600.0
Run B,4,25.2,1550.0
Run B,5,0.3,1450.0
Run B,6,-72.0,1150.0
Run C,1,99.2,2850.0
Run C,2,64.0,2750.0
Run C,3,26.0,2550.0
Run C,4,25.4,2500.0
Run C,5,0.3,2350.0
Run C,6,-72.0,1650.0
